prec_no,block_no,name
14,0029,阿曽岩
42,0344,野反湖
73,0960,三崎
31,0174,大鰐
61,0591,仏坂
67,1575,佐伯湯来
85,0830,嬉野
88,1625,霧島牧園
35,47588,山形
42,1174,片品
87,1343,諸塚
36,0301,南郷
12,1570,小車
16,0055,蘭越
31,1027,六ケ所
54,0527,津川
54,1398,宮寄上
33,1168,葛根田
32,0180,田代岳
44,1001,青梅
62,1602,茨木
20,1286,糠内
11,1528,声問
68,1592,吉賀
35,00,山形県全地点
86,0838,俵山
45,47682,千葉
50,0451,天竜
46,47670,横浜
33,1560,滝沢
21,00,胆振地方全地点
82,0782,行橋
63,0968,福崎
20,0117,池田
35,1103,山毛欅潰山
86,0835,菊池
71,1252,京上
34,00,宮城県全地点
21,47424,苫小牧
48,1360,聖高原
54,1426,川谷
33,1113,米里
32,1035,大潟
19,1195,榊町
84,1144,芦辺
20,0121,大樹
91,47929,久米島
50,1601,静岡空港
50,0446,大山
64,0638,荒神岳
31,1406,温川
36,1295,桧枝岐
42,1020,中之条
33,1037,大野
83,1554,椿ヶ鼻
53,47651,津
33,0227,花巻
63,0970,郡家
51,0467,岡崎
35,0266,瀬見
46,1005,相模原中央
67,0672,安田山
74,1229,大栃
81,0768,鍋提峠
33,1120,荒屋
33,1332,下戸鎖
53,0501,雲母峰
69,0714,菅俵原
34,1464,名取
84,0818,長浦岳
85,0829,白石
84,1536,頭ヶ島
74,,高知県
82,47809,飯塚
83,0932,玖珠
42,0343,草津
84,1084,大村
19,0093,標茶
18,47420,根室
43,0361,堂平
35,0276,蔵王山
65,1063,清水
88,0881,溝辺
42,1259,黒保根
87,47822,延岡
40,47646,つくば（館野）
44,47971,父島
63,0620,的場山
54,0531,守門岳
67,0688,大竹
48,47610,長野
52,1396,十二岳
31,1119,市浦
67,0949,甲田
56,,石川県
41,47615,宇都宮
84,1442,深江
68,0704,益田
57,,福井県
91,1064,金武
56,0973,白山河内
63,47770,神戸
36,1293,茂庭
69,1177,関金
22,1198,三石
88,0876,魚野越
16,47421,寿都
61,0594,胡麻
74,47897,宿毛
56,0571,加賀中津原
82,1477,博多
16,0051,美国
53,0513,八幡峠
73,0740,中山
74,0746,本山
91,1152,渡嘉敷
40,1013,美野里
82,0780,八幡
52,1384,付知
34,1220,丸森
50,0988,三ヶ日
57,1071,三国
19,0097,霧多布
86,1435,山江
71,1677,東祖谷
86,1660,南阿蘇
34,0243,川渡
56,0567,かほく
31,0162,野辺地
54,1256,高根
35,0270,銀山
83,0796,武蔵
52,1061,栃尾
48,0414,原村
23,,渡島地方
19,0094,幌呂台地
12,0014,蓬莱山
34,1030,塩釜
48,0404,穂高
74,0753,鳥形山
53,0511,藤坂峠
48,0423,摺古木山
91,1596,宮城島
52,1299,長滝
17,1568,津別二又
15,0044,美唄
34,0249,鹿島台
48,0398,笠岳
35,1039,尾花沢
61,0596,園部
81,1620,東厚保
19,0096,阿寒
44,47675,大島
22,47426,浦河
86,0842,甲佐
52,0480,船山
60,,滋賀県
54,1111,赤谷
36,1634,古殿
17,0081,チミケップ山
36,1268,長沼
88,1149,大隅
57,0574,タイラ山
73,0737,上林
84,0814,松浦
12,1188,幾寅
63,1227,三木
15,1400,浦臼
34,0256,白石
66,0661,陣山
15,0046,下桂沢
86,0834,岱明
23,0150,汐首
24,1200,鶉
34,0247,古川
84,1138,有川
20,1418,留真
19,,釧路地方
52,1438,丹生川
20,0108,幌安山
74,0763,中村
55,0555,八尾
64,47780,奈良
35,1038,上草津
54,0996,羽茂
49,0431,大菩薩
67,0953,久比
50,1393,三倉
66,0656,久世
57,00,福井県全地点
48,0994,上高地
56,0564,志賀
53,0508,国見山
67,1262,八幡
64,0641,玉置山
49,,山梨県
65,0650,白浜
15,0049,夕張
88,0875,大口
52,47632,岐阜
81,47754,萩
48,0415,野辺山
81,47762,下関
64,0639,日出岳
35,1539,村山
48,0407,鹿教湯
22,0137,新和
87,0868,青島
20,1404,小利別
31,,青森県
57,1316,越廼
18,0087,計根別
48,47637,飯田
66,0919,笠岡
32,0185,鹿角
82,0792,黒木
63,00,兵庫県全地点
54,0532,柏崎
71,0723,太竜寺山
35,0280,西吾妻山
33,1118,沢内
44,1505,神津島
34,,宮城県
32,1652,田沢湖高原
34,1029,米山
15,0047,長沼
22,0141,ピセナイ山
50,0452,島田
54,1302,大潟
32,1422,男鹿真山
54,0529,長岡
64,1228,風屋
15,1401,鹿島
50,1335,菊川牧之原
48,00,長野県全地点
63,0613,生野
21,0132,伊達
21,0134,登別
52,0479,新渕山
57,1382,九頭竜
63,1337,南淡
67,47766,呉
40,0314,花園
52,0490,伽藍
65,1172,色川
31,0179,三戸
43,0364,越谷
40,0322,下妻
86,1081,三角
48,0401,四阿屋山
11,1054,豊富
42,0349,榛名山
34,1526,鴬沢
54,0542,大沢峠
40,0321,愛宕山
74,0755,安芸
21,0129,有珠山
52,0473,神岡
15,1419,新城
36,00,福島県全地点
22,0139,笹山
73,00,愛媛県全地点
91,0901,奥
91,,沖縄県へのリンク
36,0296,浅草岳
15,0042,神威岳
67,0673,犬伏山
91,1639,盛山
48,1300,立科
61,0966,本庄
45,0375,香取
16,,後志地方
36,0286,喜多方
67,0951,府中
86,47819,熊本
56,1324,小松
17,1209,境野
54,0544,湯沢
65,1589,南紀白浜
91,1248,城辺
12,0013,雄鷹峰
14,,石狩地方
15,1068,栗沢
19,1403,塘路
44,47677,三宅島
57,0577,今庄
88,0935,牧之原
44,1133,府中
66,1328,上長田
55,1621,立山芦峅
73,0961,宇和
52,0493,恵那
19,1186,鶴居
73,0958,西条
86,1368,五木
33,0234,岳山
54,0536,安塚
53,1349,紀伊長島
68,,島根県
40,0315,北茨城
44,1002,練馬
31,0167,黒石
40,1661,常総
56,0563,木原岳
54,0539,糸魚川
73,47887,松山
74,1556,三崎
45,00,千葉県全地点
11,1285,浜鬼志別
54,0998,関山
12,1201,中川
66,0670,玉野
71,47894,剣山
91,0903,呉我山
82,0944,頂吉
65,1089,龍神
82,0943,宗像
11,1546,礼文
46,0388,海老名
35,1357,荒沢
91,0905,名嘉真
67,1582,君田
88,47831,枕崎
88,1296,喜界島
56,0570,医王山
16,1208,神恵内
42,0357,稲含山
71,0724,日和佐
48,0400,信州新町
62,0602,豊中
23,47430,函館
48,0396,白馬
