Date,AverageTemperature,IsHoliday,Season
2019-04-01,7.2,False,Heating
2019-04-02,6.6,False,Heating
2019-04-03,7.9,False,Heating
2019-04-04,10.0,False,Heating
2019-04-05,12.9,False,Intermediate
2019-04-06,15.2,True,Intermediate
2019-04-07,15.9,True,Intermediate
2019-04-08,14.6,False,Intermediate
2019-04-09,11.8,False,Intermediate
2019-04-10,9.4,False,Heating
2019-04-11,10.7,False,Intermediate
2019-04-12,10.6,False,Intermediate
2019-04-13,10.8,True,Intermediate
2019-04-14,12.3,True,Intermediate
2019-04-15,13.2,False,Intermediate
2019-04-16,13.2,False,Intermediate
2019-04-17,15.5,False,Intermediate
2019-04-18,17.1,False,Intermediate
2019-04-19,16.2,False,Intermediate
2019-04-20,14.9,True,Intermediate
2019-04-21,18.7,True,Intermediate
2019-04-22,21.2,False,Intermediate
2019-04-23,18.6,False,Intermediate
2019-04-24,18.6,False,Intermediate
2019-04-25,20.5,False,Intermediate
2019-04-26,18.5,False,Intermediate
2019-04-27,11.8,True,Intermediate
2019-04-28,11.6,True,Intermediate
2019-04-29,12.8,True,Intermediate
2019-04-30,15.3,True,Intermediate
2019-05-01,17.7,True,Intermediate
2019-05-02,18.2,True,Intermediate
2019-05-03,19.2,True,Intermediate
2019-05-04,19.5,True,Intermediate
2019-05-05,18.9,True,Intermediate
2019-05-06,16.4,True,Intermediate
2019-05-07,13.9,False,Intermediate
2019-05-08,14.8,False,Intermediate
2019-05-09,16.2,False,Intermediate
2019-05-10,19.0,False,Intermediate
2019-05-11,20.8,True,Intermediate
2019-05-12,20.8,True,Intermediate
2019-05-13,20.9,False,Intermediate
2019-05-14,20.1,False,Intermediate
2019-05-15,20.4,False,Intermediate
2019-05-16,21.4,False,Intermediate
2019-05-17,21.6,False,Intermediate
2019-05-18,21.3,True,Intermediate
2019-05-19,21.7,True,Intermediate
2019-05-20,21.2,False,Intermediate
2019-05-21,20.3,False,Intermediate
2019-05-22,19.7,False,Intermediate
2019-05-23,21.2,False,Intermediate
2019-05-24,23.2,False,Intermediate
2019-05-25,24.1,True,Intermediate
2019-05-26,24.4,True,Intermediate
2019-05-27,22.8,False,Intermediate
2019-05-28,19.3,False,Intermediate
2019-05-29,19.1,False,Intermediate
2019-05-30,20.4,False,Intermediate
2019-05-31,19.7,False,Intermediate
2019-06-01,21.6,True,Intermediate
2019-06-02,20.3,True,Intermediate
2019-06-03,23.4,False,Intermediate
2019-06-04,23.7,False,Intermediate
2019-06-05,25.0,False,Intermediate
