Date,AverageTemperature,IsHoliday,Season
2019-04-01,7.9,False,Heating
2019-04-02,7.3,False,Heating
2019-04-03,8.6,False,Heating
2019-04-04,10.7,False,Intermediate
2019-04-05,14.4,False,Intermediate
2019-04-06,15.7,True,Intermediate
2019-04-07,16.1,True,Intermediate
2019-04-08,14.6,False,Intermediate
2019-04-09,12.0,False,Intermediate
2019-04-10,9.9,False,Heating
2019-04-11,11.1,False,Intermediate
2019-04-12,12.1,False,Intermediate
2019-04-13,12.5,True,Intermediate
2019-04-14,13.7,True,Intermediate
2019-04-15,14.1,False,Intermediate
2019-04-16,14.2,False,Intermediate
2019-04-17,16.4,False,Intermediate
2019-04-18,16.3,False,Intermediate
2019-04-19,17.4,False,Intermediate
2019-04-20,15.0,True,Intermediate
2019-04-21,19.4,True,Intermediate
2019-04-22,20.6,False,Intermediate
2019-04-23,19.5,False,Intermediate
2019-04-24,20.2,False,Intermediate
2019-04-25,19.8,False,Intermediate
2019-04-26,18.4,False,Intermediate
2019-04-27,11.9,True,Intermediate
2019-04-28,12.7,True,Intermediate
2019-04-29,14.5,True,Intermediate
2019-04-30,17.5,True,Intermediate
2019-05-01,16.9,True,Intermediate
2019-05-02,18.1,True,Intermediate
2019-05-03,19.3,True,Intermediate
2019-05-04,19.6,True,Intermediate
2019-05-05,19.4,True,Intermediate
2019-05-06,18.4,True,Intermediate
2019-05-07,15.0,False,Intermediate
2019-05-08,15.9,False,Intermediate
2019-05-09,17.9,False,Intermediate
2019-05-10,19.8,False,Intermediate
2019-05-11,21.5,True,Intermediate
2019-05-12,20.8,True,Intermediate
2019-05-13,21.0,False,Intermediate
2019-05-14,20.0,False,Intermediate
2019-05-15,21.0,False,Intermediate
2019-05-16,21.4,False,Intermediate
2019-05-17,21.7,False,Intermediate
2019-05-18,21.5,True,Intermediate
2019-05-19,22.1,True,Intermediate
2019-05-20,21.5,False,Intermediate
2019-05-21,21.2,False,Intermediate
2019-05-22,21.2,False,Intermediate
2019-05-23,21.8,False,Intermediate
2019-05-24,23.3,False,Intermediate
2019-05-25,25.0,True,Intermediate
2019-05-26,24.8,True,Intermediate
2019-05-27,24.2,False,Intermediate
2019-05-28,20.9,False,Intermediate
2019-05-29,20.4,False,Intermediate
2019-05-30,21.3,False,Intermediate
2019-05-31,21.7,False,Intermediate
2019-06-01,21.9,True,Intermediate
2019-06-02,21.3,True,Intermediate
2019-06-03,23.3,False,Intermediate
2019-06-04,23.7,False,Intermediate
2019-06-05,24.2,False,Intermediate
2019-06-06,24.9,False,Intermediate
2019-06-07,22.4,False,Intermediate
2019-06-08,22.1,True,Intermediate
2019-06-09,22.4,True,Intermediate
2019-06-10,22.3,False,Intermediate
2019-06-11,22.7,False,Intermediate
2019-06-12,22.5,False,Intermediate
2019-06-13,23.4,False,Intermediate
2019-06-14,23.6,False,Intermediate
2019-06-15,20.5,True,Intermediate
2019-06-16,21.6,True,Intermediate
2019-06-17,21.1,False,Intermediate
2019-06-18,22.4,False,Intermediate
2019-06-19,23.4,False,Intermediate
2019-06-20,24.6,False,Intermediate
2019-06-21,25.1,False,Intermediate
2019-06-22,25.5,True,Intermediate
2019-06-23,23.5,True,Intermediate
2019-06-24,23.7,False,Intermediate
2019-06-25,24.3,False,Intermediate
2019-06-26,24.8,False,Intermediate
2019-06-27,24.5,False,Intermediate
2019-06-28,25.8,False,Intermediate
2019-06-29,26.2,True,Intermediate
2019-06-30,25.1,True,Intermediate
2019-07-01,23.8,False,Intermediate
2019-07-02,24.3,False,Intermediate
2019-07-03,24.1,False,Intermediate
2019-07-04,25.7,False,Intermediate
2019-07-05,25.5,False,Intermediate
2019-07-06,25.2,True,Intermediate
2019-07-07,26.3,True,Intermediate
2019-07-08,25.2,False,Intermediate
2019-07-09,24.7,False,Intermediate
2019-07-10,26.0,False,Intermediate
2019-07-11,23.6,False,Intermediate
2019-07-12,25.5,False,Intermediate
2019-07-13,23.8,True,Intermediate
2019-07-14,23.3,True,Intermediate
2019-07-15,25.6,True,Intermediate
2019-07-16,26.3,False,Intermediate
2019-07-17,26.4,False,Intermediate
2019-07-18,25.8,False,Intermediate
2019-07-19,24.2,False,Intermediate
2019-07-20,27.4,True,Cooling
2019-07-21,28.1,True,Cooling
2019-07-22,26.1,False,Intermediate
2019-07-23,27.7,False,Cooling
2019-07-24,28.3,False,Cooling
2019-07-25,29.0,False,Cooling
2019-07-26,29.5,False,Cooling
2019-07-27,27.7,True,Cooling
2019-07-28,28.8,True,Cooling
2019-07-29,29.3,False,Cooling
2019-07-30,29.7,False,Cooling
2019-07-31,30.1,False,Cooling
2019-08-01,31.0,False,Cooling
2019-08-02,30.5,False,Cooling
2019-08-03,29.6,True,Cooling
2019-08-04,29.5,True,Cooling
2019-08-05,31.5,False,Cooling
2019-08-06,30.7,False,Cooling
2019-08-07,29.9,False,Cooling
2019-08-08,29.3,False,Cooling
2019-08-09,29.1,False,Cooling
2019-08-10,29.7,True,Cooling
2019-08-11,29.9,True,Cooling
2019-08-12,31.8,True,Cooling
2019-08-13,32.2,False,Cooling
2019-08-14,31.1,False,Cooling
2019-08-15,28.9,False,Cooling
2019-08-16,28.4,False,Cooling
2019-08-17,29.8,True,Cooling
2019-08-18,29.4,True,Cooling
2019-08-19,28.4,False,Cooling
2019-08-20,28.1,False,Cooling
2019-08-21,29.1,False,Cooling
2019-08-22,29.1,False,Cooling
2019-08-23,26.9,False,Intermediate
2019-08-24,25.9,True,Intermediate
2019-08-25,26.4,True,Intermediate
2019-08-26,26.3,False,Intermediate
2019-08-27,25.2,False,Intermediate
2019-08-28,26.6,False,Intermediate
2019-08-29,27.2,False,Cooling
2019-08-30,25.8,False,Intermediate
